ch,species,sex,wing_mm,fat,muscle,weight_g,blood_infection
001,RS,f,129,2,2,17.3,yes
001,RS,m,130,2,2,19,no
001,RS,m,125,3,2,18.3,yes
001,RS,m,124,2,2,19.9,yes
001,RS,m,130,3,2,17.7,no
001,RS,f,125,3,2,23.7,yes
001,RS,m,129,1,1,18.6,no
010,RS,m,127,2,2,19,yes
001,RS,f,126,3,2,22.6,yes
010,MS,f,116,3,3,21.5,yes
